beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-12.262776,-18.018494,-22.238609,1.220554,0.784964,0.449225,81.00667266845703,-69.92651824951172,-284.999462890625,0.5086884780313881,-0.4522441132995134,0.47206356843094727,-0.5602385935155549,0.8806329965591431,-61.741957092285155,-40.92801971435547,-229.27667846679688,0.5174341884775275,0.7063059292341853,0.48310847117726713,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.295613,-19.326423,-22.570021,0.606375,0.436291,1.331734,81.08709259033203,-69.95396881103515,-284.95947265625,0.5013992900744494,-0.45835119446776046,0.4754601318732195,-0.558972805637194,0.882034420967102,-62.15839309692383,-36.09998321533203,-225.2996032714844,0.4613041232710685,0.8035933752851292,0.37608003543257146,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.66343,-19.16103,-20.252335,2.110282,0.436919,0.540865,81.02265319824218,-69.95427551269532,-284.98984985351564,0.5009169363004533,-0.4636235053171148,0.4720347419123012,-0.5579593808447226,0.8772767186164856,-55.176701354980466,-50.979443359375,-232.39505310058593,0.2198723704861874,0.8634780859095018,0.4539402337872771,0.0,0.0
-14.83245397313843,-20.082412422144987,-24.91967137403361,3.302954623903297,1.4579251963843725,0.2426733848412024,-13.927995,-19.50625,-24.091987,2.910566,1.124849,0.449852,81.09019470214844,-69.91559295654297,-284.9698425292969,0.5021939234088444,-0.46504072029776555,0.4721073307946331,-0.5555655316577279,0.8793830871582031,-69.5078125,-62.067474365234375,-228.32586059570312,0.10034607534228616,0.5839480012647414,0.8055652655013831,0.0,0.0
-14.20261390465979,-16.58002511637145,-22.56424437568645,1.5314469067202965,0.1429349792106814,1.0179646049023103,-13.930191,-17.588851,-23.033729,1.93265,0.352811,0.798839,81.06368103027344,-69.96527404785157,-284.98906860351565,0.49798875273537013,-0.46117450164658824,0.4747635675734141,-0.5602899571517015,0.8754608035087585,-70.70707702636719,-48.679552459716795,-228.12522888183594,-0.044583108848732525,0.7341376468601203,0.6775354321864409,0.0,0.0
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402477,0.9445505134237308,-14.104372,-17.930619,-23.735154,1.93265,0.953181,0.799467,81.06448974609376,-70.01215362548828,-284.9866516113281,0.484914483456336,-0.4486627058800853,0.483909921976982,-0.5739258728258083,0.8897863626480103,-72.4873046875,-46.79570541381836,-227.08244934082032,0.42430057902940704,0.7072443201452996,0.5654860654848386,0.0,0.0
-14.575989864007344,-17.731470705839055,-20.57616547488943,0.5828637888089898,1.544983531678021,0.8690220019779114,-14.104685,-17.854044,-21.2858,0.959442,1.215548,0.716614,81.09434967041015,-69.92519836425781,-284.96245727539065,0.5022311145290518,-0.4662248169072026,0.46878767517859793,-0.5573476861882511,0.8871386647224426,-64.8554298400879,-38.15875091552734,-232.72025146484376,0.33422806512089903,0.7627060439773743,0.5536886227528282,0.0,0.0
-14.31401047166162,-18.72160335743685,-22.920568667680364,2.4966919488001103,2.097605972292393,0.2150396308369651,-14.104057,-18.09915,-22.232332,2.110281,1.732608,0.450794,81.09108123779296,-69.98140258789063,-284.978271484375,0.501792193911474,-0.46070190378750675,0.4736712139060404,-0.558205993422549,0.8737203478813171,-66.95329208374024,-47.99977416992188,-234.0672637939453,0.5254020191057794,0.677225790513691,0.5150902318843531,0.0,0.0
-11.530776111662764,-11.959596474431796,-13.369069976551591,0.3570259316505993,0.0151729082322403,0.0420266089906188,-12.013903,-12.958188,-14.482587,0.866546,0.352497,0.267514,80.9636444091797,-69.97368927001953,-285.0544372558594,0.49907845694060754,-0.46316432526278867,0.47199033985707733,-0.5600219823393082,0.8856437802314758,-41.92568130493164,-37.28025588989258,-252.863427734375,0.412395492772845,0.6905170594584283,0.594235768140498,0.0,0.0
-11.5581368605059,-14.924220174646624,-20.888923474305557,2.444242395848389,0.5993861044104093,0.0776567569897956,-11.848512,-14.105261,-19.972707,2.110281,0.436605,0.179325,80.9513656616211,-70.0062469482422,-285.07976684570315,0.5004071207674506,-0.4643209379945056,0.4715675486395246,-0.5582318757427257,0.8767019510269165,-53.896094512939456,-40.88255310058594,-244.22752685546874,0.3610954744807541,0.6723957961917054,0.6461377187359068,0.0,0.0
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-12.264973,-18.012531,-22.237668,1.219927,0.785278,0.362606,80.95531463623047,-69.93294372558594,-285.02784423828126,0.49813520898785985,-0.4584672223320977,0.4759724746420661,-0.561354899325569,0.8715677261352539,-61.8668212890625,-40.88952865600586,-229.37246704101562,0.523861862475273,0.7020645521812694,0.48236305166798554,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.304088,-19.326423,-22.569393,0.606375,0.436605,1.243233,80.97820587158203,-69.96663818359374,-284.9788330078125,0.4995007969936695,-0.46129360996582897,0.47244903923204895,-0.5608021616720967,0.8773208856582642,-62.4205078125,-35.78121719360352,-225.57518615722657,0.4841834503733061,0.7918145879359678,0.37228489724456143,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.66343,-19.166053,-20.250453,2.109968,0.437546,0.540866,81.01211700439453,-69.95491485595703,-284.971044921875,0.49962155759880966,-0.4629196743688016,0.47283312252306214,-0.5590281857920164,0.87852543592453,-54.97286605834961,-51.007486724853514,-232.57326965332032,0.6839264083639103,0.5532815381693873,0.4755251911974365,0.0,0.0
