beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-7.07070417183069,-12.1640337330169,-13.3245924825627,4.73143353889344,2.52147462735362,14.892678068513,-5.836481,-11.115794,-12.588268,4.320549,2.124815,14.289021,60.3895526885986,-19.2617565155029,-287.835665893555,0.506174373976666,-0.470743332779021,0.47752916478946,-0.542359764869142,0.687636494636535,-10.849661847949,-28.8440077781677,-277.057437133789,0.863971348253382,0.057602640516814,0.500235389794369,0,0
-3.32257231496063,-6.48531869921258,-7.63184152651453,20.3025219196069,3.12348429790001,10.4517304792365,-4.348581,-7.582933,-8.694637,19.914988,2.562931,10.991367,60.3033878326416,-19.2732980728149,-287.866839599609,0.506398348545878,-0.471177224163851,0.477066491040636,-0.542181057530998,0.692855477333069,-10.9388378143311,0.930994844436646,-284.579959106445,0.907931712924879,-0.15154054960493,0.390762672847254,0,0
-0.233265806365708,-5.72875192299027,-8.48719132280453,21.4274998136834,22.853862630018,8.79325379047235,-1.879312,-6.523106,-8.714408,20.971678,22.353227,9.265264,60.2617866516113,-19.2859708786011,-287.891851806641,0.505911580698652,-0.470084526879,0.478272245835179,-0.542521583872671,0.699050426483154,-7.39267320632935,10.9073060512543,-282.556555175781,0.612472529515677,0.189475710140632,0.767447949932353,0,0
-7.09657270518341,-9.37100886857941,-13.020357830422,5.93423397354343,11.1779542017447,15.0706797060426,-3.782419,-8.555199,-12.1558,6.290988,11.574786,14.625141,60.3336006164551,-19.3074087142944,-287.862506103516,0.505321582227559,-0.470971328388441,0.478027932804172,-0.542517651169097,0.694025933742523,-7.55724625587463,-36.971865940094,-312.399105834961,0.441280196228176,-0.272858063449414,0.854880263912706,0,0
-10.4851639963061,-15.8525644112801,-18.8612240217934,16.6141499149924,3.97900116296084,21.5816436618926,-8.478217,-14.949169,-17.819472,16.110801,4.502614,21.089096,60.3482280731201,-19.2637996673584,-287.773129272461,0.505817678685728,-0.470741660934914,0.476329857361877,-0.543746845117132,0.696597337722778,-35.5002717494965,-31.2735948562622,-325.968310546875,0.840850066381055,-0.469401792429761,0.269505330430966,0,0
-4.99684964034208,-7.45112181525061,-12.3966990318879,15.2323187375185,13.1933488039974,9.63638524826675,-6.426181,-8.557396,-13.070635,15.710345,12.848336,10.291824,60.2245353698731,-19.2678852081299,-287.867300415039,0.507174193365586,-0.4701702747681,0.476687096482883,-0.542663489056684,0.700989842414856,-24.5872880935669,-11.1244295120239,-312.862478637695,0.896037992430515,-0.035043880311309,0.44259218539624,0,0
-0.953801780831819,-3.13744843793113,-7.66098850978915,16.9891175851129,22.3327063919585,15.3304020709123,-3.053376,-4.096662,-8.698717,16.544524,21.758964,14.966282,60.1938701629639,-19.3130849838257,-287.877688598633,0.507283097992459,-0.473444097064244,0.475475499310092,-0.540774994800994,0.693691730499268,-4.26218039989471,-7.87141842842102,-300.058758544922,0.74497843263353,-0.369512073908447,0.5553989216291,0,0
-5.98163910243427,-11.9523752283926,-17.7221016646902,10.4903151389229,14.8965692927399,7.81159399428962,-4.377767,-10.846522,-16.7609,10.852607,15.355265,8.237762,60.3755565643311,-19.2909965515137,-287.816781616211,0.507289664716652,-0.470761557396531,0.476744574576372,-0.541992032009008,0.698909759521484,-40.0384515047073,-8.90717391967774,-307.381912231445,0.711513032395561,-0.196134091204718,0.674744857704431,0,0
-3.27749342858363,-3.95577022174298,-7.156681377862,3.05620006620294,2.77188708393435,8.31638459489528,-3.932747,-5.056232,-7.669959,3.506456,3.131918,8.250943,60.259956741333,-19.332564163208,-287.895724487305,0.507494938817104,-0.472651445382005,0.475665166201518,-0.541102714755533,0.684308290481567,-0.47497251033783,-17.3016516685486,-288.352008056641,0.58065836849302,-0.498920460634693,0.64336166582964,0,0
-3.33286390989051,-8.85016959512448,-9.74274434124062,13.1240152648353,9.46618820025051,23.2440463448071,-3.934316,-7.956398,-9.332353,12.603045,8.852707,22.636625,60.240633392334,-19.3149580001831,-287.848645019531,0.50969409157909,-0.473627515124557,0.474310656260649,-0.539368437419076,0.692373752593994,8.19889588356018,-16.6841871261597,-319.124856567383,0.71623112348615,-0.362265097571885,0.596470432486808,0,0
